ProgramId,Owner,ProgramDataAddress,Authority,LastDeployedInSlot,DataLength,Balance
FsJ3A3u2vn5cTVofAjvy6y5kwABJAqYWpe4975bi2epH,BPFLoaderUpgradeab1e11111111111111111111111,72xbspJP8vtJ91Lp7k6mqJXFiPSvpad5BBRrixfAWh8m,ERNVcTG8sGynQjy6BKr3qotMusv3Zo1pJsbGdBgy9eQQ,105217035,81760 (0x13f60) bytes,0.57025368 SOL
9xQeWvG816bUx9EPjHmaT23yvVM2ZWbrrpZb9PusVFin,BPFLoaderUpgradeab1e11111111111111111111111,DTxcpNApaMLNfYgwQ99PmpCm8rjS7o1q2YdfzYsrYohB,6XvcBmETaz5ZNRhwiz1ochXitHG771d6rmK4Ug3NVr1g,102923305,494821 (0x78ce5) bytes,3.44515824 SOL
FjJ5mhdRWeuaaremiHjeQextaAw1sKWDqr3D7pXjgztv,BPFLoaderUpgradeab1e11111111111111111111111,Em7Qs81QaZLTDVCj39h3nSunH3wuPbnR9DYJyA3r482X,3cGZFMZavPHzciggMLWzT74qdaakNAosMwQokHTEKmbx,66962233,759584 (0xb9720) bytes,5.28790872 SOL
CLs66NQrh6MWYzkgxrC79tfepMt5neTTCgguzpYo1LCW,BPFLoaderUpgradeab1e11111111111111111111111,2ur8AGRNGtWw9mXhzcf6juCG9CJgCXxEJWEhBMq7ntNi,3A23GMwU7Fhd6Bswws56ohr5qUTQH4buVE1m6RkaEZXh,86916041,23392 (0x5b60) bytes,0.1640124 SOL
DzpARSggzEgNc2HLdrMEguSf9KGPh5RG1NMBqNnF8ZuU,BPFLoader1111111111111111111111111111111111,n/a,n/a,n/a,53816 (0xd238) bytes,n/a
D3z8BLmMnPD1LaKwCkyCisM7iDyw9PsXXmvatUwjCuqT,BPFLoaderUpgradeab1e11111111111111111111111,3vYwnGLQFFLnpWwomB88YStFz3HtytND8NDyEhfXy7fA,4agAwv6MpvGmK86cJxE7cgBmMa1enzypYRfAooJQC2gu,93428418,672080 (0xa4150) bytes,4.67888088 SOL
675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8,BPFLoaderUpgradeab1e11111111111111111111111,A7ZG7ByDi8DpzT9Ab7CiXhvgYTJQmaDPJkMDoPitaCQV,UpAuc9FHwjtssLfQSuiCDahnmtUTBHf6eWTkRubh5ty,107468430,1406384 (0x1575b0) bytes,9.78963672 SOL
ATokenGPvbdGVxr1b2hvZbsiqW5xWH25efTNsLJA8knL,BPFLoader2111111111111111111111111111111111,n/a,n/a,n/a,128920 (0x1f798) bytes,n/a
9W959DqEETiGZocYWCQPaJ6sBmUzgfxXfqGeTEdp3aQP,BPFLoaderUpgradeab1e11111111111111111111111,DrrJDyBzyuyYAzkkjd6Vu9ZzaDLsKRf4RPXyRE7Uk2A8,8DzsCSvbvBDYxGB4ytNF698zi6Dyo9dUBVRNjZQFHSUt,82296010,691104 (0xa8ba0) bytes,4.81128792 SOL
4MNPdKu9wFMvEeZBMt3Eipfs5ovVWTJb31pEXDJAAxX5,BPFLoader2111111111111111111111111111111111,n/a,n/a,n/a,46864 (0xb710) bytes,n/a
EhhTKczWMGQt46ynNeRX1WfeagwwJd7ufHvCDjRxjo5Q,BPFLoaderUpgradeab1e11111111111111111111111,68ZYga21EEhp6wcWfCfxxdTfhyYPwKio3SLwf68iuhhR,G1Y1oLPnHnndErCydT1GVGLiMuB51THQiRfrDVCH4Hsx,66346832,276832 (0x43960) bytes,1.9279548 SOL
93BgeoLHo5AdNbpqy9bD12dtfxtA5M2fh3rj72bE35Y3,BPFLoaderUpgradeab1e11111111111111111111111,2Mmu1o7DppkzYLVxmPhDvUSoEaKa5zTGNePsnCRH11bT,UpAuc9FHwjtssLfQSuiCDahnmtUTBHf6eWTkRubh5ty,100844261,253584 (0x3de90) bytes,1.76614872 SOL
Crt7UoUR6QgrFrN7j8rmSQpUTNWNSitSwWvsWGf1qZ5t,BPFLoaderUpgradeab1e11111111111111111111111,3QE5sAZbq5UQG9rnRMAHEJHVwHdxfLfMxFJGFEmYQFSU,H9XuKqszWYirDmXDQ12TZXGtxqUYYn4oi7FKzAm7RHGc,84472665,885482 (0xd82ea) bytes,6.1641588 SOL
HvwYjjzPbXWpykgVZhqvvfeeaSraQVnTiQibofaFw9M7,BPFLoaderUpgradeab1e11111111111111111111111,FP6uUhahE7J8zV4mHzJeyUkMMfKds4kapssUN8rkJ4r8,CmiPgGfWeteicRisWRuJzn7L649zWpw9Qya8g3ey9cZt,104729833,1066896 (0x104790) bytes,7.42680024 SOL
5mpjDRgoRYRmSnAXZTfB2bBkbpwvRjobXUjb4WYjF225,BPFLoaderUpgradeab1e11111111111111111111111,C11DCb9decDPgRUTF5GRd3H3KciQ7pCxWuMfhzFKEYrJ,CUh6CFyUkRYFZjB8qrNZiLWQJTfGztdnbbsR82RN2giL,102256064,328736 (0x50420) bytes,2.28920664 SOL
3rVEgTR97opXeV2DPaHbyj4MTXbTWcQ3eeUcgdcmKkyT,BPFLoaderUpgradeab1e11111111111111111111111,EkWrx9jwHK86YPshgHV2xLtYZosPouKQaxL4ujuXf5CE,5jwBGfXVpcEY9Hqmw2hCu77NMnoMeVKzgKCChf82d1Te,82206094,464784 (0x71790) bytes,3.23610072 SOL
7K3UpbZViPnQDLn2DAM853B9J5GBxd1L1rLHy4KqSmWG,BPFLoaderUpgradeab1e11111111111111111111111,FYd6akA5NgW5PM6ZnAKv8rFQ38voaNgXj1CYP9GMUSDy,CUh6CFyUkRYFZjB8qrNZiLWQJTfGztdnbbsR82RN2giL,81412415,260224 (0x3f880) bytes,1.81236312 SOL
DecZY86MU5Gj7kppfUCEmd4LbXXuyZH1yHaP2NTqdiZB,BPFLoaderUpgradeab1e11111111111111111111111,9dPfCMk7LKTg14ViNa9rsn9JAcJDzi6qRyhC34TdjDeU,H9XuKqszWYirDmXDQ12TZXGtxqUYYn4oi7FKzAm7RHGc,100256603,599760 (0x926d0) bytes,4.17553368 SOL
CJsLwbP1iu5DuUikHEJnLfANgKy6stB2uFgvBBHoyxwz,BPFLoaderUpgradeab1e11111111111111111111111,DH2RebfAA92xp5W2sGmq2Ve4ix29tFi95KvatozXYc7X,TESAinbTL2eBLkWqyGA82y1RS6kArHvuYWfkL9dKkbs,107020983,437888 (0x6ae80) bytes,3.04890456 SOL
2nAAsYdXF3eTQzaeUQS3fr4o782dDg8L28mX39Wr5j8N,BPFLoaderUpgradeab1e11111111111111111111111,BnNbkVTyvN5cgUS2bepK9pdN35bzScBNnwWwGhzdtVnk,7MBLg6oV5phip11YBbJPuq7u38kdzSi9PM3BifKSpLaR,107514037,1379904 (0x150e40) bytes,9.60533592 SOL
DjVE6JNiYqPL2QXyCUUh8rNjHrbz9hXHNYt99MQ59qw1,BPFLoader2111111111111111111111111111111111,n/a,n/a,n/a,310464 (0x4bcc0) bytes,n/a
DeJBGdMFa1uynnnKiwrVioatTuHmNLpyFKnmB5kaFdzQ,BPFLoaderUpgradeab1e11111111111111111111111,H2TcX6QFg9VggjD5KE5cKQ4GCoWtEa9JKytvPGEw7bwb,ADWPQx9CtspY1YefKZnTE1gQMQ3Qgf6vYxNM1VrfoKZb,95929460,94080 (0x16f80) bytes,0.65600088 SOL
6Z8pw3gKe4uM3pUaiRCwCjCn3FWFSMYFBJMu2Muq8erQ,BPFLoaderUpgradeab1e11111111111111111111111,8cWPFSxx72Aj4Z5dpPTLjFq3LnG2ZcRUUUdPs5J252wo,FhuJfyiM3hH32qA3NYz1NADnZhu3GzSw4pL1pcfFNW5Y,102861050,240832 (0x3acc0) bytes,1.6773948 SOL
5JQ8Mhdp2wv3HWcfjq9Ts8kwzCAeBADFBDAgBznzRsE4,BPFLoaderUpgradeab1e11111111111111111111111,CPAXtSjc7RnrJu7NoGUVDXobyZ561YdscKS99mVA7Nx8,2SZPmP91s1beN2MHwn7zhkfbBEGCgdVFvPB2rA9T9o3Z,96284110,423680 (0x67700) bytes,2.95001688 SOL
FC81tbGt6JWRXidaWYFXxGnTk4VgobhJHATvTRVMqgWj,BPFLoaderUpgradeab1e11111111111111111111111,E6dUGy62mYgGDZiLzpKsgWsnaMLQ3cwyvMLTBWzT3oV5,7MBLg6oV5phip11YBbJPuq7u38kdzSi9PM3BifKSpLaR,103416322,654336 (0x9fc00) bytes,4.55538264 SOL
AVWV7vdWbLqXiLKFaP19GhYurhwxaLp2qRBSjT5tR5vT,BPFLoaderUpgradeab1e11111111111111111111111,BxetxLkLgWMCPMuUEU4mBgu8godiz4PMJ8c6vhLSk8ua,CmrhCide8EvPFD2TsqwBbQtECsoXk4ATtEkLrLur3tD4,107518413,619520 (0x97400) bytes,4.31306328 SOL
GBbxGS4UfAU9uM1pbeDwf2jethSJQF2fdComo9whAvsH,BPFLoaderUpgradeab1e11111111111111111111111,BwdTUyms1DZTCcXbAk2yBsx2uXU3qqDGUD7e7RJ95xAg,4TLJVSjuu9AEpXNbFDfz7r4z8BFM9E5gGpzrbhxiAbnJ,101377101,194720 (0x2f8a0) bytes,1.35645528 SOL
